Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"The cloud application modelling and execution language","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0138-7","Achilleas P. AchilleosKyriakos KritikosAlessandro RossiniGeorgia M. KapitsakiJörg DomaschkaMichal OrzechowskiDaniel SeyboldFrank GriesingerNikolay NikolovDaniel RomeroGeorge A. Papadopoulos","2019","http://link.springer.com/article/10.1186/s13677-019-0138-7","Article"
"Improving cloud architectures using UML profiles and M2T transformation techniques","The Journal of Supercomputing","","75","12","10.1007/s11227-019-02980-w","Adrián BernalM. Emilia CambroneroAlberto NúñezPablo C. CañizaresValentín Valero","2019","http://link.springer.com/article/10.1007/s11227-019-02980-w","Article"
"Multi-cloud provisioning of business processes","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0143-x","Kyriakos KritikosChrysostomos ZeginisJoaquin IranzoRoman Sosa GonzalezDaniel SeyboldFrank GriesingerJörg Domaschka","2019","http://link.springer.com/article/10.1186/s13677-019-0143-x","Article"
"Service description languages in cloud computing: state-of-the-art and research issues","Service Oriented Computing and Applications","","13","2","10.1007/s11761-019-00263-z","Falak NawazAhmad MohsinNaeem Khalid Janjua","2019","http://link.springer.com/article/10.1007/s11761-019-00263-z","Article"
"A Cloud Model-based Knowledge Mapping Method for Historic Building Maintenance based on Building Information Modelling and Ontology","KSCE Journal of Civil Engineering","","23","8","10.1007/s12205-019-2457-0","Pin-Chan LeeWei XieTzu-Ping LoDanbing LongXiaofei Tang","2019","http://link.springer.com/article/10.1007/s12205-019-2457-0","Article"
"A Cloud-based solution/reference architecture for establishing collaborative networked organizations","Journal of Intelligent Manufacturing","","30","5","10.1007/s10845-017-1387-2","Mohammad Reza Mollahoseini ArdakaniSeyyed Mohsen HashemiMohammadreza Razzazi","2019","http://link.springer.com/article/10.1007/s10845-017-1387-2","Article"
"Towards reliable and trustful personal health record systems: a case of cloud-dew architecture based provenance framework","Journal of Ambient Intelligence and Humanized Computing","","10","10","10.1007/s12652-019-01292-4","Fakhri Alam KhanSadaf ShaheenMuhammad AsifAtta Ur RahmanMuhammad ImranSaeed Ur Rehman","2019","http://link.springer.com/article/10.1007/s12652-019-01292-4","Article"
"Models for Multimedia Mobile Cloud in Smart Cities","Multimedia Systems","","25","5","10.1007/s00530-017-0552-y","Majdi RawashdehAwny Alnusair","2019","http://link.springer.com/article/10.1007/s00530-017-0552-y","Article"
"GPUCloudSim: an extension of CloudSim for modeling and simulation of GPUs in cloud data centers","The Journal of Supercomputing","","75","5","10.1007/s11227-018-2636-7","Ahmad SiavashiMahmoud Momtazpour","2019","http://link.springer.com/article/10.1007/s11227-018-2636-7","Article"
"A survey on data storage and placement methodologies for Cloud-Big Data ecosystem","Journal of Big Data","","6","1","10.1186/s40537-019-0178-3","Somnath MazumdarDaniel SeyboldKyriakos KritikosYiannis Verginadis","2019","http://link.springer.com/article/10.1186/s40537-019-0178-3","Article"
"ManuService ontology: a product data model for service-oriented business interactions in a cloud manufacturing environment","Journal of Intelligent Manufacturing","","30","1","10.1007/s10845-016-1250-x","Yuqian LuHongqiang WangXun Xu","2019","http://link.springer.com/article/10.1007/s10845-016-1250-x","Article"
"Ontology for cloud manufacturing based Product Lifecycle Management","Journal of Intelligent Manufacturing","","30","5","10.1007/s10845-017-1376-5","Asma TalhiVirginie FortineauJean-Charles HuetSamir Lamouri","2019","http://link.springer.com/article/10.1007/s10845-017-1376-5","Article"
"A metadata based manufacturing resource ontology modeling in cloud manufacturing systems","Journal of Ambient Intelligence and Humanized Computing","","10","3","10.1007/s12652-018-0964-3","Xiaobin LiPeijie ZhuangChao Yin","2019","http://link.springer.com/article/10.1007/s12652-018-0964-3","Article"
"Cloud computing-based high accuracy surface modeling method for China’s Poyang Lake basin DEM generation","Environmental Earth Sciences","","78","14","10.1007/s12665-019-8387-9","Changqing YanJimin LiuChuanfa ChenTianxiang Yue","2019","http://link.springer.com/article/10.1007/s12665-019-8387-9","Article"
"iPOJO flow: a declarative service workflow architecture for ubiquitous cloud applications","Journal of Ambient Intelligence and Humanized Computing","","10","4","10.1007/s12652-018-0792-5","Xipu ZhangChoonhwa LeeSumi Helal","2019","http://link.springer.com/article/10.1007/s12652-018-0792-5","Article"
"Cloud manufacturing: challenges, recent advances, open research issues, and future trends","The International Journal of Advanced Manufacturing Technology","","102","9 - 12","10.1007/s00170-019-03398-7","Einollah Jafarnejad GhomiAmir Masoud RahmaniNooruldeen Nasih Qader","2019","http://link.springer.com/article/10.1007/s00170-019-03398-7","Article"
"A cloud service platform for the seamless integration of digital design and rapid prototyping manufacturing","The International Journal of Advanced Manufacturing Technology","","100","5 - 8","10.1007/s00170-018-2809-9","Jiacheng XieZhaojian YangXuewen WangXiaonan Lai","2019","http://link.springer.com/article/10.1007/s00170-018-2809-9","Article"
"On personalized cloud service provisioning for mobile users using adaptive and context-aware service composition","Computing","","101","4","10.1007/s00607-018-0631-8","Elarbi BadidiYacine AtifQuan Z. ShengMuthucumaru Maheswaran","2019","http://link.springer.com/article/10.1007/s00607-018-0631-8","Article"
"Simulator considering modeling and performance evaluation for high-performance computing of collaborative-based mobile cloud infrastructure","The Journal of Supercomputing","","75","8","10.1007/s11227-019-02882-x","Hyun-Woo KimJungho KangYoung-Sik Jeong","2019","http://link.springer.com/article/10.1007/s11227-019-02882-x","Article"
"A cloud-terminal-based cyber-physical system architecture for energy efficient machining process optimization","Journal of Ambient Intelligence and Humanized Computing","","10","3","10.1007/s12652-018-0832-1","X. X. LiF. Z. HeW. D. Li","2019","http://link.springer.com/article/10.1007/s12652-018-0832-1","Article"
"LincoSim: a Web Based HPC-Cloud Platform for Automatic Virtual Towing Tank Analysis","Journal of Grid Computing","","17","4","10.1007/s10723-019-09494-y","F. SalvadoreR. Ponzini","2019","http://link.springer.com/article/10.1007/s10723-019-09494-y","Article"
"Research on the mechanism and influence factors of urban style building based on cloud computing logistics information","Cluster Computing","","22","6","10.1007/s10586-018-2120-4","Mingtong Li","2019","http://link.springer.com/article/10.1007/s10586-018-2120-4","Article"
"Research on the system of smart city park based on cloud computing","Cluster Computing","","22","4","10.1007/s10586-018-1741-y","Miao YuJinguo SongCaixia Zhang","2019","http://link.springer.com/article/10.1007/s10586-018-1741-y","Article"
"Survey of access control models and technologies for cloud computing","Cluster Computing","","22","3","10.1007/s10586-018-1850-7","Fangbo CaiNafei ZhuJingsha HePengyu MuWenxin LiYi Yu","2019","http://link.springer.com/article/10.1007/s10586-018-1850-7","Article"
"Services and simulation frameworks for vehicular cloud computing: a contemporary survey","EURASIP Journal on Wireless Communications and Networking","","2019","1","10.1186/s13638-018-1315-y","Bilal AhmedAsad Waqar MalikTaimur HafeezNadeem Ahmed","2019","http://link.springer.com/article/10.1186/s13638-018-1315-y","Article"
"Using Advanced Handover and Localization Techniques for Maintaining Quality-of-Service of Mobile Users in Heterogeneous Cloud-Based Environment","Journal of Network and Systems Management","","27","4","10.1007/s10922-019-09494-z","Yonal KirsalGlenford MappFragkiskos Sardis","2019","http://link.springer.com/article/10.1007/s10922-019-09494-z","Article"
"A framework for designing cloud forensic-enabled services (CFeS)","Requirements Engineering","","24","3","10.1007/s00766-018-0289-y","Stavros SimouChristos KalloniatisStefanos GritzalisVasilios Katos","2019","http://link.springer.com/article/10.1007/s00766-018-0289-y","Article"
"New Fuzzy-Based Fault Tolerance Evaluation Framework for Cloud Computing","Journal of Network and Systems Management","","27","4","10.1007/s10922-019-09491-2","Mehdi Nazari CheraghlouAhmad KhademzadehMajid Haghparast","2019","http://link.springer.com/article/10.1007/s10922-019-09491-2","Article"
"Trust Establishment and Estimation in Cloud Services: A Systematic Literature Review","Journal of Network and Systems Management","","27","2","10.1007/s10922-018-9475-y","Kanwal MahmudMuhammad Usman","2019","http://link.springer.com/article/10.1007/s10922-018-9475-y","Article"
"Performability Evaluation and Optimization of Workflow Applications in Cloud Environments","Journal of Grid Computing","","17","4","10.1007/s10723-019-09476-0","Danilo OliveiraAndré BrinkmannNelson RosaPaulo Maciel","2019","http://link.springer.com/article/10.1007/s10723-019-09476-0","Article"
"Research and development of off-line services for the 3D automatic printing machine based on cloud manufacturing","Journal of Ambient Intelligence and Humanized Computing","","10","3","10.1007/s12652-017-0615-0","Chenglei ZhangBuyun ShengXiyan YinFeiyu ZhaoYao Shu","2019","http://link.springer.com/article/10.1007/s12652-017-0615-0","Article"
"Cloud Service for Interactive Simulation of Interregional Trade Flows","Automatic Control and Computer Sciences","","53","7","10.3103/S0146411619070289","A. S. VelichkoV. V. GribovaL. A. Fedorishchev","2019","http://link.springer.com/article/10.3103/S0146411619070289","Article"
"Cognitive Intelligence Assisted Fog-Cloud Architecture for Generalized Anxiety Disorder (GAD) Prediction","Journal of Medical Systems","","44","1","10.1007/s10916-019-1495-y","Ankush ManochaRamandeep SinghMunish Bhatia","2019","http://link.springer.com/article/10.1007/s10916-019-1495-y","Article"
"Adaptive QoE-based architecture on cloud mobile media for live streaming","Cluster Computing","","22","3","10.1007/s10586-018-2876-6","Santiago Felici-CastellJaume Segura-GarciaMiguel Garcia-Pineda","2019","http://link.springer.com/article/10.1007/s10586-018-2876-6","Article"
"Cloud manufacturing based service encapsulation and optimal configuration method for injection molding machine","Journal of Intelligent Manufacturing","","30","7","10.1007/s10845-017-1322-6","Yingfeng ZhangDong XiHaidong YangFei TaoZhe Wang","2019","http://link.springer.com/article/10.1007/s10845-017-1322-6","Article"
"An optical packet metro architecture for Fixed Mobile Convergence in the cloud era","Photonic Network Communications","","37","3","10.1007/s11107-019-00831-5","Annie GraveyDjamel AmarPhilippe GraveyMichel Morvan","2019","http://link.springer.com/article/10.1007/s11107-019-00831-5","Article"
"A comparative study on spiking neural network encoding schema: implemented with cloud computing","Cluster Computing","","22","2","10.1007/s10586-018-02891-0","Ammar AlmomaniMohammad AlauthmanMohammed AlweshahO. DorghamFiras Albalas","2019","http://link.springer.com/article/10.1007/s10586-018-02891-0","Article"
"Cloud services integration for farm animals’ behavior studies based on smartphones as activity sensors","Journal of Ambient Intelligence and Humanized Computing","","10","12","10.1007/s12652-018-0845-9","Olivier DebaucheSaïd MahmoudiAndriamasinoro Lalaina Herinaina AndriamandrosoPierre MannebackJérôme BindelleFrédéric Lebeau","2019","http://link.springer.com/article/10.1007/s12652-018-0845-9","Article"
"Security governance as a service on the cloud","Journal of Cloud Computing","","8","1","10.1186/s13677-019-0148-5","Ciarán Bryce","2019","http://link.springer.com/article/10.1186/s13677-019-0148-5","Article"
"Pricing policy for a cloud registration service with a novel cloud architecture","Cluster Computing","","22","1","10.1007/s10586-018-2854-z","Shunfu JinHaixing WuWuyi Yue","2019","http://link.springer.com/article/10.1007/s10586-018-2854-z","Article"
"Cloud-Based Data Architecture Security","Automatic Control and Computer Sciences","","53","8","10.3103/S0146411619080285","N. A. SemenovA. A. Poltavtsev","2019","http://link.springer.com/article/10.3103/S0146411619080285","Article"
"Exploring Temporal Analytics in Fog-Cloud Architecture for Smart Office HealthCare","Mobile Networks and Applications","","24","4","10.1007/s11036-018-0991-5","Munish BhatiaSandeep K. Sood","2019","http://link.springer.com/article/10.1007/s11036-018-0991-5","Article"
"MWC: an efficient and secure multi-cloud storage approach to leverage augmentation of multi-cloud storage services on mobile devices using fog computing","The Journal of Supercomputing","","75","6","10.1007/s11227-018-2304-y","Rajeev Kumar BediJaswinder SinghSunil Kumar Gupta","2019","http://link.springer.com/article/10.1007/s11227-018-2304-y","Article"
"Priority based prediction mechanism for ranking providers in federated cloud architecture","Cluster Computing","","22","4","10.1007/s10586-017-1593-x","M. SaravananM. AramudhanS. Sundara PandiyanT. Avudaiappan","2019","http://link.springer.com/article/10.1007/s10586-017-1593-x","Article"
"BisQue for 3D Materials Science in the Cloud: Microstructure–Property Linkages","Integrating Materials and Manufacturing Innovation","","8","1","10.1007/s40192-019-00128-5","Marat I. LatypovAmil KhanChristian A. LangKris KvilekvalAndrew T. PolonskyMcLean P. EchlinIrene J. BeyerleinB. S. ManjunathTresa M. Pollock","2019","http://link.springer.com/article/10.1007/s40192-019-00128-5","Article"
"Design and implementation of an efficient multi cloud storage approach for resource constrained mobile devices","Cluster Computing","","22","6","10.1007/s10586-017-1296-3","Rajeev Kumar BediJaswinder SinghSunil Kumar Gupta","2019","http://link.springer.com/article/10.1007/s10586-017-1296-3","Article"
"Toward energy-efficient cloud computing: a survey of dynamic power management and heuristics-based optimization techniques","The Journal of Supercomputing","","75","8","10.1007/s11227-019-02764-2","Nagma KhattarJagpreet SidhuJaiteg Singh","2019","http://link.springer.com/article/10.1007/s11227-019-02764-2","Article"
"A modified knowledge-based ant colony algorithm for virtual machine placement and simultaneous routing of NFV in distributed cloud architecture","The Journal of Supercomputing","","75","8","10.1007/s11227-019-02804-x","Alireza FarshinSaeed Sharifian","2019","http://link.springer.com/article/10.1007/s11227-019-02804-x","Article"
"CaR-PLive: Cloud-assisted reinforcement learning based P2P live video streaming: a hybrid approach","Multimedia Tools and Applications","","78","23","10.1007/s11042-019-08102-1","Majid SinaMehdi DehghanAmir Masoud Rahmani","2019","http://link.springer.com/article/10.1007/s11042-019-08102-1","Article"
