Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A security requirements modelling language for cloud computing environments","Software and Systems Modeling","","19","2","10.1007/s10270-019-00747-8","Haralambos MouratidisShaun SheiAidan Delaney","2020","http://link.springer.com/article/10.1007/s10270-019-00747-8","Article"
"Compositional Modelling Languages with Analytics and Construction Infrastructures Based on Object-Oriented Techniques—The MontiCore Approach","Composing Model-Based Analysis Tools","","","","10.1007/978-3-030-81915-6_10","Arvid ButtingKatrin HölldoblerBernhard RumpeAndreas Wortmann","2021","http://link.springer.com/chapter/10.1007/978-3-030-81915-6_10","Chapter"
"A method to evaluate quality of modelling languages based on the Zachman reference taxonomy","Software Quality Journal","","27","3","10.1007/s11219-018-9434-6","Fáber D. GiraldoSergio EspañaWilliam J. GiraldoÓscar PastorJohn Krogstie","2019","http://link.springer.com/article/10.1007/s11219-018-9434-6","Article"
"A Conceptual Redesign of a Modelling Language for Cyber Resiliency of Healthcare Systems","Computer Security","","","","10.1007/978-3-030-42048-2_10","Myrsini AthinaiouHaralambos MouratidisTheo FotisMichalis Pavlidis","2020","http://link.springer.com/chapter/10.1007/978-3-030-42048-2_10","Chapter"
