Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An Evaluation of the Intuitiveness of the PGA Modeling Language Notation","Enterprise, Business-Process and Information Systems Modeling","","","","10.1007/978-3-030-49418-6_27","Ben RoelensDominik Bork","2020","http://link.springer.com/chapter/10.1007/978-3-030-49418-6_27","Chapter"
"A technique for evaluating and improving the semantic transparency of modeling language notations","Software and Systems Modeling","","20","4","10.1007/s10270-021-00895-w","Dominik BorkBen Roelens","2021","http://link.springer.com/article/10.1007/s10270-021-00895-w","Article"
"VR-UML: The Unified Modeling Language in Virtual Reality – An Immersive Modeling Experience","Business Modeling and Software Design","","","","10.1007/978-3-030-79976-2_3","Roy Oberhauser","2021","http://link.springer.com/chapter/10.1007/978-3-030-79976-2_3","Chapter"
"Modeling languages in Industry 4.0: an extended systematic mapping study","Software and Systems Modeling","","19","1","10.1007/s10270-019-00757-6","Andreas WortmannOlivier BaraisBenoit CombemaleManuel Wimmer","2020","http://link.springer.com/article/10.1007/s10270-019-00757-6","Article"
