Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"TORCH: a TOSCA-Based Orchestrator of Multi-Cloud Containerised Applications","Journal of Grid Computing","","19","1","10.1007/s10723-021-09549-z","Orazio TomarchioDomenico CalcaterraGiuseppe Di ModicaPietro Mazzaglia","2021","http://link.springer.com/article/10.1007/s10723-021-09549-z","Article"
"Model-based cloud resource management with TOSCA and OCCI","Software and Systems Modeling","","20","5","10.1007/s10270-021-00869-y","Stéphanie ChallitaFabian KorteJohannes ErbelFaiez ZalilaJens GrabowskiPhilippe Merle","2021","http://link.springer.com/article/10.1007/s10270-021-00869-y","Article"
"SODALITE@RT: Orchestrating Applications on Cloud-Edge Infrastructures","Journal of Grid Computing","","19","3","10.1007/s10723-021-09572-0","Indika KumaraPaul MundtKamil TokmakovDragan RadolovićAlexander MaslennikovRomán Sosa GonzálezJorge Fernández FabeiroGiovanni QuattrocchiKalman MethElisabetta Di NittoDamian A. TamburriWillem-Jan Van Den HeuvelGeorgios Meditskos","2021","http://link.springer.com/article/10.1007/s10723-021-09572-0","Article"
"A survey on reliability and availability modeling of edge, fog, and cloud computing","Journal of Reliable Intelligent Environments","","","","10.1007/s40860-021-00154-1","Paulo MacielJamilson DantasCarlos MeloPaulo PereiraFelipe OliveiraJean AraujoRubens Matos","2021","http://link.springer.com/article/10.1007/s40860-021-00154-1","Article"
"Evaluating cloud interactions with costs and SLAs","The Journal of Supercomputing","","","","10.1007/s11227-021-04197-2","Adrián BernalM. Emilia CambroneroAlberto NúñezPablo C. CañizaresValentín Valero","2021","http://link.springer.com/article/10.1007/s11227-021-04197-2","Article"
"The utilization of algorithms for cloud internet of things application domains: a review","Frontiers of Computer Science","","15","3","10.1007/s11704-019-9056-6","Edje E. AbelMuhammad Shafie Abd Latiff","2021","http://link.springer.com/article/10.1007/s11704-019-9056-6","Article"
"Stochastic models for performance and cost analysis of a hybrid cloud and fog architecture","The Journal of Supercomputing","","77","2","10.1007/s11227-020-03310-1","Francisco Airton SilvaIure FéGlauber Gonçalves","2021","http://link.springer.com/article/10.1007/s11227-020-03310-1","Article"
"Software-Defined Dew, Roof, Fog and Cloud (SD-DRFC) Framework for IoT Ecosystem: The Journey, Novel Framework Architecture, Simulation, and Use Cases","SN Computer Science","","2","3","10.1007/s42979-021-00521-y","Ishtiaq AhammadMd. Ashikur Rahman KhanZayed Us Salehin","2021","http://link.springer.com/article/10.1007/s42979-021-00521-y","Article"
"Understanding of RF Cloud Interference Measurement and Modeling","International Journal of Wireless Information Networks","","","","10.1007/s10776-021-00541-8","Kaveh Pahlavan","2021","http://link.springer.com/article/10.1007/s10776-021-00541-8","Article"
"Building a blockchain-based decentralized ecosystem for cloud and edge computing: an ALLSTAR approach and empirical study","Peer-to-Peer Networking and Applications","","14","6","10.1007/s12083-021-01198-z","Huan ZhouZeshun ShiXue OuyangZhiming Zhao","2021","http://link.springer.com/article/10.1007/s12083-021-01198-z","Article"
"A model-based approach for formal verification and performance analysis of dynamic load-balancing protocols in cloud environment","Cluster Computing","","24","4","10.1007/s10586-021-03305-4","Imene Ben HafaiedhRoua Ben HamoudaRiadh Robbana","2021","http://link.springer.com/article/10.1007/s10586-021-03305-4","Article"
"E2LG: a multiscale ensemble of LSTM/GAN deep learning architecture for multistep-ahead cloud workload prediction","The Journal of Supercomputing","","77","10","10.1007/s11227-021-03723-6","Peyman YazdanianSaeed Sharifian","2021","http://link.springer.com/article/10.1007/s11227-021-03723-6","Article"
"Cluster resource scheduling in cloud computing: literature review and research challenges","The Journal of Supercomputing","","","","10.1007/s11227-021-04138-z","Wael KhallouliJingwei Huang","2021","http://link.springer.com/article/10.1007/s11227-021-04138-z","Article"
"An experimental study of fog and cloud computing in CEP-based Real-Time IoT applications","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00245-7","Giovanny Mondragón-RuizAlonso Tenorio-TrigosoManuel Castillo-CaraBlanca CamineroCarmen Carrión","2021","http://link.springer.com/article/10.1186/s13677-021-00245-7","Article"
"Hybrid semantic deep learning architecture and optimal advanced encryption standard key management scheme for secure cloud storage and intrusion detection","Neural Computing and Applications","","33","21","10.1007/s00521-021-06085-5","Varun PrabhakaranAshokkumar Kulandasamy","2021","http://link.springer.com/article/10.1007/s00521-021-06085-5","Article"
"An Optimal Approach to Enhance Context Aware Description Administration Service for Cloud Robots in a Deep Learning Environment","Wireless Personal Communications","","117","4","10.1007/s11277-021-08073-3","R. SubhaAnandakumar HaldoraiArulmurugan Ramu","2021","http://link.springer.com/article/10.1007/s11277-021-08073-3","Article"
"Executing cyclic scientific workflows in the cloud","Journal of Cloud Computing","","10","1","10.1186/s13677-021-00229-7","Michel KrämerHendrik M. WürzChristian Altenhofen","2021","http://link.springer.com/article/10.1186/s13677-021-00229-7","Article"
"Replication and data management-based workflow scheduling algorithm for multi-cloud data centre platform","The Journal of Supercomputing","","77","10","10.1007/s11227-020-03541-2","Zain UlabedinBabar Nazir","2021","http://link.springer.com/article/10.1007/s11227-020-03541-2","Article"
"Bankruptcy approach to integrity aware resource management in a cloud federation","Cluster Computing","","24","4","10.1007/s10586-021-03336-x","Alireza MahiniReza BerangiAmir Masoud RahmaniHamidreza Navidi","2021","http://link.springer.com/article/10.1007/s10586-021-03336-x","Article"
"The Implementation of a Cloud-Edge Computing Architecture Using OpenStack and Kubernetes for Air Quality Monitoring Application","Mobile Networks and Applications","","26","3","10.1007/s11036-020-01620-5","Endah KristianiChao-Tung YangChin-Yin HuangYuan-Ting WangPo-Cheng Ko","2021","http://link.springer.com/article/10.1007/s11036-020-01620-5","Article"
"Design and implementation of a cloud-based event-driven architecture for real-time data processing in wireless sensor networks","The Journal of Supercomputing","","","","10.1007/s11227-021-03955-6","Sabrine KhrijiYahia BenbelgacemRym ChéourDhouha El HoussainiOlfa Kanoun","2021","http://link.springer.com/article/10.1007/s11227-021-03955-6","Article"
"Improving load balancing for data-duplication in big data cloud computing networks","Cluster Computing","","","","10.1007/s10586-021-03312-5","Amir JavadpourAli Majed Hossein AbadiSamira RezaeiMozhdeh ZomorodianAli Shokouhi Rostami","2021","http://link.springer.com/article/10.1007/s10586-021-03312-5","Article"
"Fuzzy assisted fog and cloud computing with MIoT system for performance analysis of health surveillance system","Journal of Ambient Intelligence and Humanized Computing","","12","3","10.1007/s12652-020-02156-y","S. SelvakanmaniM. Sumathi","2021","http://link.springer.com/article/10.1007/s12652-020-02156-y","Article"
"Establishing and validating secured keys for IoT devices: using P3 connection model on a cloud-based architecture","International Journal of Information Security","","","","10.1007/s10207-021-00562-7","Sairath BhattacharjyaHossein Saiedian","2021","http://link.springer.com/article/10.1007/s10207-021-00562-7","Article"
"Cooperative game approach to form overlapping cloud federation based on inter-cloud architecture","Cluster Computing","","24","2","10.1007/s10586-021-03253-z","Messaouda AyachiHassina NacerHachem Slimani","2021","http://link.springer.com/article/10.1007/s10586-021-03253-z","Article"
"An efficient authentication and key agreement protocol for IoT-enabled devices in distributed cloud computing architecture","EURASIP Journal on Wireless Communications and Networking","","2021","1","10.1186/s13638-021-02022-1","Huihui HuangSiqi LuZehui WuQiang Wei","2021","http://link.springer.com/article/10.1186/s13638-021-02022-1","Article"
"Resource scheduling methods in cloud and fog computing environments: a systematic literature review","Cluster Computing","","","","10.1007/s10586-021-03467-1","Aryan RahimikhanghahMelika TajkeyBahareh RezazadehAmir Masoud Rahmani","2021","http://link.springer.com/article/10.1007/s10586-021-03467-1","Article"
"Study-based Systematic Mapping Analysis of Cloud Technologies for Leveraging IT Resource and Service Management: The Case Study of the Science Gateway Approach","Journal of Grid Computing","","19","4","10.1007/s10723-021-09587-7","Luis E. Sepúlveda-RodríguezJosé Luis GarridoJulio C. Chavarro-PorrasJohn A. Sanabria-OrdoñezChristian A. Candela-UribeCarlos Rodríguez-DomínguezGabriel Guerrero-Contreras","2021","http://link.springer.com/article/10.1007/s10723-021-09587-7","Article"
"Predicting the performance of big data applications on the cloud","The Journal of Supercomputing","","77","2","10.1007/s11227-020-03307-w","D. ArdagnaE. BarbieratoE. GiannitiM. GribaudoT. B. M. PintoA. P. C. da SilvaJ. M. Almeida","2021","http://link.springer.com/article/10.1007/s11227-020-03307-w","Article"
"Serverless Workflows for Containerised Applications in the Cloud Continuum","Journal of Grid Computing","","19","3","10.1007/s10723-021-09570-2","Sebastián RiscoGermán MoltóDiana M. NaranjoIgnacio Blanquer","2021","http://link.springer.com/article/10.1007/s10723-021-09570-2","Article"
"An Event-B model for dynamically managing cloud resources","Innovations in Systems and Software Engineering","","","","10.1007/s11334-021-00419-1","Aida LahouijLazhar HamelMohamed Graiet","2021","http://link.springer.com/article/10.1007/s11334-021-00419-1","Article"
