Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
A Security Requirements Modelling Language to Secure Cloud Computing Environments;Enterprise, Business-Process and Information Systems Modeling;;;;10.1007/978-3-319-59466-8_21;Shaun SheiHaralambos MouratidisAidan Delaney;2017;http://link.springer.com/chapter/10.1007/978-3-319-59466-8_21;Chapter
A security requirements modelling language for cloud computing environments;Software and Systems Modeling;;19;2;10.1007/s10270-019-00747-8;Haralambos MouratidisShaun SheiAidan Delaney;2020;http://link.springer.com/article/10.1007/s10270-019-00747-8;Article
On the Integration of Automatic Deployment into the ABS Modeling Language;Service Oriented and Cloud Computing;;;;10.1007/978-3-319-24072-5_4;Stijn de GouwMichael LienhardtJacopo MauroBehrooz NobakhtGianluigi Zavattaro;2015;http://link.springer.com/chapter/10.1007/978-3-319-24072-5_4;Chapter
