Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Open-Science Platform for Computational Materials Science: AiiDA and the Materials Cloud","Handbook of Materials Modeling","","","","10.1007/978-3-319-44677-6_64","Giovanni Pizzi","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-319-44677-6_64","ReferenceWorkEntry"
"Data Center Network in Cloud Computing","Encyclopedia of Wireless Networks","","","","10.1007/978-3-319-78262-1_322","Jiaju QiLong Zhao","2020","http://link.springer.com/referenceworkentry/10.1007/978-3-319-78262-1_322","ReferenceWorkEntry"
